id,name,categoria,colore,color_label,price,original_price,discount_pct,is_new,popularity,collections,description,status,sizes,image_urls
vestito-lino-cannes,Vestito Lino Cannes,vestiti,blush,Rosa cipria,89.00,,0,1,1,shop-all|vestiti|novita|estate-2025,"Il Vestito Lino Cannes è la definizione di eleganza estiva: 100% lino italiano, silhouette sciolta e femminile, spalline regolabili e tasche laterali nascoste. Il tessuto naturale traspira e si ammorbidisce lavaggio dopo lavaggio, per un capo che vive con te. Perfetto dal mattino al tramonto, con sandali bassi o sneakers.",attivo,xs:6|s:14|m:10|l:0,https://images.unsplash.com/photo-1496747611176-843222e1e57c?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?auto=format&fit=crop&w=1200&h=1600&q=85
blazer-sartoriale-mia,Blazer Sartoriale Mia,blazer,salvia,Verde salvia,105.00,150.00,30,0,7,shop-all|blazer|saldi,"Blazer sartoriale monopetto in misto viscosa con spalla strutturata e revers classico. Foderato, con due bottoni in corno naturale e tasche a filetto: il capo che trasforma qualsiasi look, dal denim all'abito da sera. Prodotto in Italia da un laboratorio a conduzione familiare.",attivo,s:3|m:8|l:5,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1591047139829-d91aecb6caea?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=1200&h=1600&q=85
top-seta-lucida-aria,Top Seta Lucida Aria,top,lavanda,Lavanda,65.00,,0,1,3,shop-all|top|novita,"Canotta in raso di seta con scollo dritto e spalline sottili regolabili. La superficie lucida cattura la luce ad ogni movimento: da sola in estate, sotto un blazer in ufficio, con jeans la sera. Taglio in sbieco che accarezza la figura senza segnare.",attivo,xs:6|s:10,https://images.unsplash.com/photo-1564257631407-4deb1f99d992?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1544022613-e87ca75a784a?auto=format&fit=crop&w=1200&h=1600&q=85
gonna-plisse-nuvola,Gonna Plissé Nuvola,gonne,avorio,Avorio naturale,79.00,,0,0,16,shop-all|gonne|estate-2025,"Gonna midi plissettata in tessuto tecnico leggerissimo che si muove come una nuvola ad ogni passo. Vita elastica comoda, plissé permanente che non si stira mai. L'avorio naturale la rende una base perfetta per ogni palette: provala con il Top Bustier Perla.",attivo,xs:8|s:12|m:10|l:6|xl:3,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1490481651871-ab68de25d43d?auto=format&fit=crop&w=1200&h=1600&q=85
camicia-cotone-brisa,Camicia Cotone Brisa,top,blush,Corallo pastello,55.00,,0,1,5,shop-all|top|novita|estate-2025,"Camicia over in popeline di cotone organico certificato GOTS, colletto morbido e bottoni in madreperla. Il corallo pastello illumina l'incarnato; il taglio rilassato la rende perfetta aperta sul costume o annodata in vita. Un classico che non tramonta.",attivo,s:12|m:15|l:8,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1562157873-818bc0726f68?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=1200&h=1600&q=85
giacca-kimono-fresca,Giacca Kimono Fresca,blazer,menta,Verde menta,72.00,90.00,20,0,11,shop-all|blazer|saldi,"Giacca kimono in viscosa fluida con cintura in vita e maniche ampie a tre quarti. Il verde menta è il tono dell'estate: indossala aperta come copri-spalle o chiusa come mini abito. Senza fodera, leggerissima, entra in valigia senza una piega.",attivo,s:7|m:9|l:4|xl:0,https://images.unsplash.com/photo-1485968579580-b6d095142e6e?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1544441893-675973e31985?auto=format&fit=crop&w=1200&h=1600&q=85
set-coordinato-viola,Set Coordinato Viola,set,lavanda,Lilla morbido,130.00,,0,0,13,shop-all|set,"Set due pezzi in crêpe di viscosa: top con scollo quadrato e pantalone palazzo a vita alta. Il lilla polveroso è pensato per cerimonie diurne e aperitivi al tramonto — insieme o separati, raddoppiano il guardaroba. Chiusura invisibile laterale, cade perfetto senza stirare.",attivo,xs:5|s:8|m:0,https://images.unsplash.com/photo-1556905055-8f358a7a47b2?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1567401893414-76b7b1e5a7a5?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1489987707025-afc232f7ea0f?auto=format&fit=crop&w=1200&h=1600&q=85
pantalone-culotte-zen,Pantalone Culotte Zen,pantaloni,salvia,Verde muschio,88.00,,0,0,17,shop-all|pantaloni,"Pantalone culotte a vita alta in twill di lyocell, gamba ampia che si ferma sopra la caviglia. Pinces frontali, passanti in cintura e chiusura con gancio nascosto: rigoroso davanti, comodissimo sempre. Il verde muschio si abbina a avorio, cipria e denim chiaro.",attivo,38:4|40:9|42:11|44:7|46:3|48:2,https://images.unsplash.com/photo-1509551388413-e18d0ac5d495?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1584370848010-d7fe6bc767ec?auto=format&fit=crop&w=1200&h=1600&q=85
vestito-midi-fiori,Vestito Midi Fiori,vestiti,antico,Rosa antico,115.00,,0,1,9,shop-all|vestiti|novita,"Abito midi in viscosa stampata con micro-fiori tono su tono, scollo a V e manica corta a palloncino. Arricciatura in vita, gonna svasata con spacco discreto: il vestito che risolve inviti, battesimi e cene d'estate. Stampa esclusiva disegnata a Napoli.",attivo,xs:5|s:9|m:12|l:7,https://images.unsplash.com/photo-1487222477894-8943e31ef7b2?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1539008835657-9e8e9680c956?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1475180098004-ca77a66827be?auto=format&fit=crop&w=1200&h=1600&q=85
gonna-wrap-salvia,Gonna Wrap Salvia,gonne,salvia,Verde salvia,70.00,,0,0,10,shop-all|gonne|estate-2025,"Gonna portafoglio midi in lino-viscosa con allacciatura laterale e volant sul fondo. Si regola sul punto vita esatto — nessuna taglia di compromesso — e il verde salvia sta bene a tutte. Con sandali flat è vacanza, con tacco e camicia è ufficio d'estate.",attivo,s:10|m:8|l:5|xl:0,https://images.unsplash.com/photo-1594633313593-bab3825d0caf?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1502716119720-b23a93e5fe1b?auto=format&fit=crop&w=1200&h=1600&q=85
