id,name,categoria,colore,color_label,price,original_price,discount_pct,is_new,popularity,collections,description,status,sizes,image_urls
borsa-shopper-milano,Borsa Shopper Milano,borse,espresso,Espresso,149.00,,0,1,2,shop-all|borse|accessori|novita,"Shopper strutturata in pelle bottalata color espresso, con doppio manico e tracolla removibile. L'interno foderato ha tasca zip e portacellulare; chiusura magnetica invisibile. Cucita a mano in un laboratorio toscano, entra un laptop 13 pollici senza deformarsi.",attivo,unica:10,https://images.unsplash.com/photo-1584917865442-de89df76afd3?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1548036328-c9fa89d128fa?auto=format&fit=crop&w=1200&h=1600&q=85
borsa-mini-luna-sera,Borsa Mini Luna Sera,borse,nero,Nero,95.00,,0,1,4,shop-all|borse|accessori|novita,"Mini bag da sera con catena dorata e patta a mezzaluna. Il formato compatto contiene telefono, carte e rossetto; la catena si porta a spalla o crossbody. La finitura liscia riflette la luce dei locali: l'accessorio che completa qualsiasi look da aperitivo.",attivo,unica:8,https://images.unsplash.com/photo-1566150905458-1bf1fc113f0d?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1591561954557-26941169b49e?auto=format&fit=crop&w=1200&h=1600&q=85
borsa-tote-quotidiana,Borsa Tote Quotidiana,borse,avorio,Avorio naturale,119.00,149.00,20,0,6,shop-all|borse|accessori|saldi,"Tote in canvas pesante con fondo e manici in pelle avorio. Capiente ma leggera, regge la spesa come il weekend fuori porta: tasca esterna rapida, interno con divisorio e moschettone portachiavi. Si pulisce con un panno umido, invecchia benissimo.",attivo,unica:12,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1553062407-98eeb64c6a62?auto=format&fit=crop&w=1200&h=1600&q=85
borsa-tracolla-sella,Borsa a Tracolla Sella,borse,antico,Cuoio antico,135.00,,0,0,9,shop-all|borse|accessori,"Tracolla a sella in pelle conciata al vegetale, fibbia in ottone anticato e tracolla regolabile. Il profilo curvo si appoggia naturale sul fianco; dentro, due scomparti e tasca segreta. Con il tempo la pelle sviluppa una patina unica, tua e di nessun altro.",attivo,unica:7,https://images.unsplash.com/photo-1594223274512-ad4803739b7c?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1559563458-527698bf5295?auto=format&fit=crop&w=1200&h=1600&q=85
borsa-secchiello-riviera,Borsa Secchiello Riviera,borse,salvia,Verde salvia,110.00,,0,1,12,shop-all|borse|accessori|novita|estate-2025,"Secchiello in pelle martellata verde salvia con coulisse e pochette interna estraibile. La forma morbida si adatta a tutto quello che ci metti; la tracolla lunga la rende perfetta anche crossbody. Il colore dell'estate, da portare tutto l'anno.",attivo,unica:9,https://images.unsplash.com/photo-1575032617751-6ddec2089882?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1587467512961-120760940315?auto=format&fit=crop&w=1200&h=1600&q=85
pantalone-palazzo-brezza,Pantalone Palazzo Brezza,pantaloni,avorio,Avorio naturale,92.00,,0,1,3,shop-all|pantaloni|novita|estate-2025,"Pantalone palazzo in misto lino-viscosa avorio, vita alta con fascia liscia e zip laterale invisibile. La gamba larghissima cade dritta fino a terra e allunga la figura; il tessuto fresco non si appiccica nemmeno ad agosto. Con sandalo o tacco, è l'eleganza senza sforzo.",attivo,38:5|40:10|42:12|44:8|46:4|48:0,https://images.unsplash.com/photo-1604176354204-9268737828e4?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1473966968600-fa801b869a1a?auto=format&fit=crop&w=1200&h=1600&q=85
pantalone-sigaretta-city,Pantalone Sigaretta City,pantaloni,nero,Nero,78.00,,0,1,5,shop-all|pantaloni|novita,"Pantalone sigaretta nero in punto Milano stretch, vita media e caviglia scoperta. Non si stira, non si sgualcisce, tiene la piega davanti: il capo da ufficio che passa alla cena senza cambiarsi. Tasche a filetto dietro e spacchetto sul fondo.",attivo,38:6|40:12|42:14|44:9|46:5|48:3,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1551803091-e20673f15770?auto=format&fit=crop&w=1200&h=1600&q=85
jeans-wide-leg-porto,Jeans Wide Leg Porto,pantaloni,blush,Denim chiaro,85.00,,0,0,8,shop-all|pantaloni,"Jeans wide leg a vita altissima in denim rigido lavaggio chiaro, cinque tasche e orlo pulito. Il cotone non elasticizzato modella la silhouette e dura anni; la gamba ampia bilancia top aderenti e blazer over. Prodotto con lavaggi a basso consumo d'acqua.",attivo,38:4|40:9|42:11|44:6|46:2|48:0,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1592878904946-b3cd8ae243d0?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1552902865-b72c031ac5ea?auto=format&fit=crop&w=1200&h=1600&q=85
pantalone-cargo-morbido,Pantalone Cargo Morbido,pantaloni,salvia,Verde salvia,74.00,92.00,20,0,10,shop-all|pantaloni|saldi,"Cargo in twill di cotone garment-dyed verde salvia, gamba affusolata con coulisse al fondo e tasconi laterali a soffietto. La vita elastica con cordino lo rende comodissimo; il taglio pulito lo tiene lontano dallo streetwear sciatto. Il pantalone del weekend, promosso anche in settimana.",attivo,38:3|40:8|42:10|44:7|46:4|48:2,https://images.unsplash.com/photo-1560243563-062bfc001d68?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1617137968427-85924c800a22?auto=format&fit=crop&w=1200&h=1600&q=85
pantalone-sartoriale-gesso,Pantalone Sartoriale Gesso,pantaloni,lavanda,Grigio perla,98.00,,0,1,14,shop-all|pantaloni|novita,"Pantalone sartoriale a pinces in fresco lana grigio perla, vita alta con passanti e doppio gancio. La piega stirata davanti e il fondo a caviglia disegnano una linea impeccabile; il tessuto traspirante lo rende portabile da marzo a ottobre. Confezionato in Italia.",attivo,38:4|40:7|42:9|44:6|46:3|48:1,https://images.unsplash.com/photo-1624378439575-d8705ad7ae80?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1584865288642-42078afe6942?auto=format&fit=crop&w=1200&h=1600&q=85|https://images.unsplash.com/photo-1596783074918-c84cb06531ca?auto=format&fit=crop&w=1200&h=1600&q=85
